TICKER,SETOR,COTACAO_FECHAMENTO,VALOR,LIQUIDEZMEDIADIARIA,PVP,YELD,MEDIA_YIELD_12M,SOMA_YIELD_ANO_CORRENTE,RENTABILIDADE,NUMERO_COTISTA,TX_GESTAO,PATRIMONIO_LIQUIDO
AAGR11,Outros,96.1400,99,5250.61,0,1.2100,1.2625,5.2300,10.0613,0,,0.0000
AAZQ11,Outros,7.3400,7.21,685569.94,0.8386,1.2900,1.4817,7.5300,20.5712,29817,,206946884.0600
ABCP11,Shoppings,78.8400,79.49,43676.94,0.7385,0.7600,0.8650,3.5400,23.1464,14920,,507004106.3900
AFHI11,Papéis,91.7500,92.75,653506.06,0.9932,1.0800,1.0783,4.3500,11.4550,42402,,424592667.1100
AGRX11,Outros,8.0900,8.06,206613.83,0.7937,1.3600,1.3467,5.6600,22.9554,19257,,183235232.6600
AIEC11,Lajes Corporativas,46.1000,45.35,321771.56,0.5801,0.6900,1.2908,5.1800,11.5623,17677,,375121034.4700
AJFI11,Shoppings,7.2000,7.37,849165.67,0.6102,0.9700,0.9367,4.0800,7.7340,13137,,384656303.67
ALMI11,Lajes Corporativas,589.9600,560.01,38126.5,0.266,0.3600,0.5433,2.7500,9.2321,2002,,214297860.7000
ALZC11,Papéis,7.8900,8.3,198202.5,0.0885,1.3900,1.2575,5.4900,-7.8362,7825,,195840861.9
ALZM11,Fundo de Fundos,6.3200,6.32,164.43,0.8472,6.3000,1.3550,7.5500,4.6483,12195,,113203496.2200
ALZR11,Misto,96.8900,99.79,2601192.94,0.9495,0.0800,0.9200,0.3200,4.4716,152691,,1272157932.1500
APTO11,Imóveis Residenciais,8.5400,8.49,29459.89,0.8805,1.0500,1.0408,5.3400,5.2089,8711,,44779639.2500
APXM11,Shoppings,87.5600,96.04,333353.56,0.8263,0.5000,0.4733,1.7200,-10.0157,624,,349217182.13
ARCT11,Imóveis Industriais e Logísticos,---,87.13,1053903.45,0.8696,0.0000,1.0462,0.0000,---,43228,,369956160.0700
AROA11,Imóveis Industriais e Logísticos,0.9700,0.98,7383.06,1.0316,0.6600,0.6542,3.2000,0.1440,4097,,160335085.64
ARRI11,Papéis,7.5100,7.4,200418.67,0.8747,1.2000,1.1883,5.9300,-2.9716,24355,,175272963.6200
ARXD11,Papéis,7.2200,7.09,122201.61,0.7722,1.3200,1.2750,6.7300,-1.9167,1535,,83084798.63
ASMT11,Lajes Corporativas,68.5900,35.33,12967.67,0.394,1.1200,0.0000,2.1900,-3.8800,1,,102079817.71
ASRF11,Outros,---,10888,494.91,1.1193,0.0000,0.0000,0.0000,---,68,,38910201.49
ATSA11,Shoppings,49.9900,50,1069.78,0.6565,0.2400,0.3958,2.4700,-3.8479,305,,133137714.4400
AURB11,Imóveis Comerciais - Outros,---,72.8,68,1,0.0000,0.0000,0.0000,---,20,,65408945.4
AZPL11,Serviços Financeiros Diversos,7.3400,7.29,263401.39,0.7385,1.2300,1.1411,6.8300,18.8379,1,,178202361.37
BARI11,Papéis,75.0000,73.88,417063,0.8092,1.3300,1.2033,6.9800,20.0464,35633,,422905422.3100
BBFI11B,Lajes Corporativas,1335.0000,1257.1,182918.19,0.4075,47.5100,5.8142,69.7700,119.3947,6989,,112420203.1600
BBFO11,Fundo de Fundos,64.9000,63.78,377172.33,0.873,1.1100,1.0658,5.8200,15.3406,6863,,295109143.5500
BBGO11,Outros,67.0000,66.99,275821.33,0.7231,1.4200,1.2242,9.1000,0.2790,11897,,369438989.6000
BBIG11,Serviços Financeiros Diversos,7.1400,7.13,758458,0.7715,1.1600,1.1836,6.0400,12.9925,29926,,945852548.73
BBIM11,Papéis,---,0,,0,0.0000,0.0000,0.0000,---,20,,667.5000
BBPO11,Agências de Bancos,90.0600,96.75,1815419.7,0.8018,1.0900,0.9842,11.8100,11.5540,68471,,1614021771.6900
BBRC11,Agências de Bancos,105.8500,105.95,44500.44,0.9978,1.0200,1.0883,5.4900,8.0306,9158,,166519256.8300
BCIA11,Fundo de Fundos,88.2100,85.06,379367.28,0.9044,0.9500,0.9942,5.2400,16.1770,24221,,360241044.4900
BCRI11,Papéis,68.6900,65.4,360215.83,0.7966,1.1800,1.2875,6.4100,24.1009,43146,,530042757.0200
BDIF11,Outros,74.6400,75.63,2152505.89,0,1.4700,1.2250,5.6300,11.4696,0,,0
BDIV11,Outros,36.9300,36.02,286932.72,0,4.3300,21.0458,9.0800,1.2016,0,,0
BETW11,Outros,---,0,,0,0.0000,0.0000,0.0000,---,1,,263355773.41
